COUPLERS,LIKEASTOMAKEOURAPPET,NWETL WKGOO ETZYI SRDYI 
FOOTHOLD,WHATPOTIONSHAVEIDRUN,BVOMW CELTB GAHJP LIFIG 
SPURRING,THATYOUWEREONCEUNKIN,LWUKP WHCWG YFEKR AFZCE 
RELAYING,TISBETTERTOBEVILETHA,KMDBC BGKIX ZBCDV RVXSA 
SNOBBISH,THYGIFTTHYTABLESAREW,LUMHJ NLAZL HBCTW ZSESX 
LATCHING,NOTIMETHOUSHALTNOTBO,YOMKT MGNZU LJHTG TZTUQ 
MIGHTILY,IFMYDEARLOVEWEREBUTT,UNSFW MLPXW BLPMC CNCZA 
VERSICLE,WERETAUGHTTOMEIBORET,RIIWB CFKCX KGUGT FJVVL 
AVENGERS,OTHOUMYLOVELYBOYWHOI,OOLBA QPDOQ IYEFF QWCSV 
OVERTIME,INTHEOLDAGEBLACKWASN,WIXYX WXHOB ISEIO OKVWE 
PIPETTES,HOWOFTWHENTHOUMYMUSI,WWLSY MAZTV ILHNQ QBCHM 
WITHERED,THEEXPENSEOFSPIRITIN,PPXLB GIQOM HMWGM UEBBU 
IMPEDING,MYMISTRESSEYESARENOT,UKBMV BEKAE TCHAN XMZDX 
NUZZLING,THOUARTASTYRANNOUSSO,GBNTL ZGGFN XQLVA UHMRN 
ALMIGHTY,THINEEYESILOVEANDTHE,TSUVK LRCST XWBLT LDETM 
AFFORDED,BESHREWTHATHEARTTHAT,BJXVI HAWHF YVVDV WTMFH 
GELDINGS,SONOWIHAVECONFESSDTH,YSYRE VNSBI NRVSK KYHEK 
IRISHMAN,WHOEVERHATHHERWISHTH,EYWWC QRUIK PZLDW VAYBZ 
PEACOCKS,IFTHYSOULCHEQUETHEET,XJTJM UYMAG HGEWO LWIEV 
ROSEBUDS,THOUBLINDFOOLLOVEWHA,KVGYC FLFUT GSMFR NVKZE 
TRACTORS,WHENMYLOVESWEARSTHAT,PYEPF MCGOV SYXOI KMYAV 
BIOMORPH,OCALLNOTMETOJUSTIFYT,PKOXZ EDANM HAXLH AJNMF 
YOUNGISH,BEWISEASTHOUARTCRUEL,ZSQVY MSZRV IHGZL JPIYY 
FRAILEST,INFAITHIDONOTLOVETHE,NEFIT XZBIF NWEPG OJKHM 
FOOTINGS,LOVEISMYSINANDTHYDEA,QCJXQ FSQXW BTVQZ ZDRST 
INJECTOR,LOASACAREFULHOUSEWIF,TBJWC VOIMS DPJHI JMJRJ 
FIVEFOLD,TWOLOVESIHAVEOFCOMFO,YEJPT JPVNP VZJCQ FTUAS 
KNOTTIER,THOSELIPSTHATLOVESOW,DUCLX TMGCG VTMTS MOFCP 
BASELESS,POORSOULTHECENTREOFM,QOGVD SMDUH WGPRL JFOXQ 
COVERTLY,MYLOVEISASAFEVERLONG,OMGSM XTQCG VJVOP PNCIK 
LEAKAGES,OMEWHATEYESHATHLOVEP,ZQEGH GXWJI SRAZL DZZEZ 
COLLEGES,CANSTTHOUOCRUELSAYIL,EOYDX ZLGWC NCYKP KCMTW 
SHAMROCK,OFROMWHATPOWERHASTTH,GMRAD KJKLW OIVFJ KKATT 
RESIDUES,LOVEISTOOYOUNGTOKNOW,CSNML MXGFC GCQAX GBRGE 
DESERTED,INLOVINGTHEETHOUKNOW,LRDSM BRJWL WIKAS XNRGA 
STUCCOED,CUPIDLAIDBYHISBRANDA,UNJKF ZELVU SJKGF USGXC 
OCCIDENT,THELITTLELOVEGODLYIN,HJGTL XGESN QDHKB WZAKV 
ABDUCTED,FROMFAIRESTCREATURES,FSRGH TMUET WWTXE WUSHM 
GYRATION,WHENFORTYWINTERSSHAL,CFVNY WFGEU ZNMMF FYFRL 
FIXATION,LOOKINTHYGLASSANDTEL,QWLKB VHUDO IALAO AIBBL 
BIPLANES,UNTHRIFTYLOVELINESSW,VVISR VJLZT DGEYM FFAHH 
STOPOVER,THOSEHOURSTHATWITHGE,LACHS CSLJL HWOOA ZLAUT 
KINSHASA,THENLETNOTWINTERSRAG,DPRFS ELNYB JAUTW RCZNY 
STRIPPER,LOINTHEORIENTWHENTHE,DHZVI WIFJB VVILL VFMYM 
BASALTIC,MUSICTOHEARWHYHEARST,NUKIN MWJFA JWSRP GBRKT 
COURTESY,ISITFORFEARTOWETAWID,KGCKY SJDGO LKHAW RCKCU 
REROLLED,FORSHAMEDENYTHATTHOU,WSIGS LQHUI EMESE WKLFI 
SLUICING,ASFASTASTHOUSHALTWAN,SDZIU BNYLS ICUPN RLHUV 
TENSIONS,WHENIDOCOUNTTHECLOCK,PLRFQ RBUHY ALBVR UESPC 
SHODDILY,OTHATYOUWEREYOURSELF,GAVDW GZSOL FHBWF PKLZI 
ABETTING,NOTFROMTHESTARSDOIMY,NPXYK WZZHF WMTZF JOJQR 
POISONED,WHENICONSIDEREVERYTH,LVMFW PSQHW LWFRZ HGMBZ 
ZIONISTS,BUTWHEREFOREDONOTYOU,ACHJP WKWEW FRLGG GSGCH 
GRIMNESS,WHOWILLBELIEVEMYVERS,CYWIV PDTKC QQIIE QBVZE 
ESPOUSAL,SHALLICOMPARETHEETOA,WZPZF ACZQH PFYLH PILDO 
DOOMSDAY,DEVOURINGTIMEBLUNTTH,GSJAM UILJH WYWEL SQHHT 
RATIONAL,AWOMANSFACEWITHNATUR,RWHUO ASQRC XEWGH YRTNZ 
TOPNOTCH,SOISITNOTWITHMEASWIT,LCXFW MPVMK XGVFG HLKXG 
MARZIPAN,MYGLASSSHALLNOTPERSU,YYXKI HSFTA CKVDT CQRJT 
SNUFFING,ASANUNPERFECTACTORON,SFUSZ VCKJS YHYIP ZGEIS 
BURDENED,MINEEYEHATHPLAYDTHEP,NCEHI LIKBN YSPNC GUBVS 
LEGALISM,LETTHOSEWHOAREINFAVO,WIZTS WKQHL UACMA ZQEBO 
IRONWORK,LORDOFMYLOVETOWHOMIN,TFFQK TDITF JRPCN RWDWA 
DOWNTURN,WEARYWITHTOILIHASTEM,ZSWER QZGKH KVECY NVHAZ 
JUNKMAIL,HOWCANITHENRETURNINH,QIJMM NQEQY ABQTC CWCAR 
POINTING,WHENINDISGRACEWITHFO,LVMAB VQOHU ZNVMJ OIVNB 
STRIPIER,WHENTOTHESESSIONSOFS,OAVVI WXYWL VAHQS EKHWA 
PHONETIC,THYBOSOMISENDEAREDWI,IOMOS LWOXZ SAHXI TTKKV 
BUDDHISM,IFTHOUSURVIVEMYWELLC,JZWKV CKGSP LYLUQ IFFOF 
TURNPIKE,FULLMANYAGLORIOUSMOR,YOCYB IXCTA CBGQY YLGFE 
UPSTARTS,WHYDIDSTTHOUPROMISES,QWQWI ULLNW GNPIH ECHWL 
TRIBUNAL,NOMOREBEGRIEVEDATTHA,GFUPL RBPZI QFPRD LMKPB 
NURTURED,LETMECONFESSTHATWETW,YYKFY TSQSY JLNYE WJYKP 
THRONGED,ASADECREPITFATHERTAK,TZRRR IVHIP KTNZL HKARY 
EGGHEADS,HOWCANMYMUSEWANTSUBJ,LUCJE NPQQA YLAAQ LWAHQ 
CAVORTED,OHOWTHYWORTHWITHMANN,QHJKK ACZQR OVNBX KOAIB 
ROSTRUMS,TAKEALLMYLOVESMYLOVE,KOCXR FXEPZ GOVMY QCCNX 
THIEVISH,THOSEPETTYWRONGSTHAT,MOWWZ XWAMF EVJVY ZMOIX 
HINDUISM,THATTHOUHASTHERITISN,APNWN PGGOI FWBMJ UAQFQ 
OPTIMISE,WHENMOSTIWINKTHENDOM,KWXVY WKXWL BVWBZ IBSHU 
DOWNLOAD,IFTHEDULLSUBSTANCEOF,LTPUP RUOOG QODHA QFSKS 
PINIONED,THEOTHERTWOSLIGHTAIR,IPRWH UIUIE BAZVK KIIVZ 
BUSINESS,MINEEYEANDHEARTAREAT,NCFMR CWSOX ZMNVL SSYSB 
BOHEMIAN,BETWIXTMINEEYEANDHEA,CSAAU FTZJB LIKMA AEVLE 
CASHIERS,HOWCAREFULWASIWHENIT,JOOJI VVXWL OHAMN ZGNAA 
LOLLIPOP,AGAINSTTHATTIMEIFEVE,LULTV HHISO EEQBS XQSGP 
BACKFIRE,HOWHEAVYDOIJOURNEYON,IOYRJ IMCEO KTTCI RFYQX 
OUTFLANK,THUSCANMYLOVEEXCUSET,HBNXN AAWMF HAPEK MIMXY 
COERCION,SOAMIASTHERICHWHOSEB,UCEDK IGGJS VZEPK UQGIS 
COCKSURE,WHATISYOURSUBSTANCEW,YVCDA MPSWF UETMK EPQGG 
MOLECULE,OHOWMUCHMOREDOTHBEAU,AVZAO ONLYC CIFIE LNSLY 
ISSUABLE,NOTMARBLENORTHEGILDE,VGLGA SMPMF GLTIP KQDVY 
TIGHTWAD,SWEETLOVERENEWTHYFOR,LEKLM HOYXZ KUXST KRNUY 
OVERFEED,BEINGYOURSLAVEWHATSH,PZMEL CSXFN PRAIA KOOWY 
NARCOSIS,THATGODFORBIDTHATMAD,GHRVU GLXBR SKRLP SGMRF 
INQUIRED,IFTHEREBENOTHINGNEWB,QSJBM IIEMA ENPZR JVRMV 
BAVARIAN,LIKEASTHEWAVESMAKETO,MIFER ATUFW VVVAM NLEOO 
GURGLING,ISITTHYWILLTHYIMAGES,OMZZE PLCOF CZSGV SGAVY 
SKETCHES,SINOFSELFLOVEPOSSESS,KSRHH ZIDXV SOGWS KKOWL 
LEATHERY,AGAINSTMYLOVESHALLBE,LKABU WKKJP OOLWY YWPBX 
COHESION,WHENIHAVESEENBYTIMES,YVLRA POIGG LIFJM GKALW 
WAVELETS,SINCEBRASSNORSTONENO,OIIGP FKSOS ISCWM GJEIS 
DEEPNESS,TIREDWITHALLTHESEFOR,WMVTQ AALKE PAGLW KHJSG 
ETHIOPIA,AHWHEREFOREWITHINFEC,EADPS GMFSK LEWIP IRYLK 
NORTHMEN,THUSISHISCHEEKTHEMAP,GVLLP ELVFQ YXLWX URARI 
TUSSOCKY,THOSEPARTSOFTHEETHAT,MBGKS RKPMM GXHJO CMBSL 
INTRUDER,THATTHOUARTBLAMEDSHA,BUTKN KSLIE MSFDQ VLFAR 
REDSHIFT,NOLONGERMOURNFORMEWH,ESOGU OJKDS XJUNT KDIZZ 
STRIPPED,OLESTTHEWORLDSHOULDT,GEVAI ILHOH ITSHL RMEUB 
RAVISHED,THATTIMEOFYEARTHOUMA,KHVBL PQHFF TMSYX KFUHI 
RATTLING,BUTBECONTENTEDWHENTH,SUMUP KBTKE GMPLJ NVNMA 
ELDORADO,SOAREYOUTOMYTHOUGHTS,WZDFV YRIXZ PMKHR IKSWG 
PERFORCE,WHYISMYVERSESOBARREN,LLPNG DAZTV JJGFD EGVVS 
SWITCHER,THYGLASSWILLSHOWTHEE,LDGZN HWJOE TEUOS NLDMX 
WINDPIPE,SOOFTHAVEIINVOKEDTHE,OWBII PPZAQ VQKWZ IZBUH 
UNZIPPED,WHILSTIALONEDIDCALLU,QUHTH IMDFB MMSXH FUYKC 
FESTERED,OHOWIFAINTWHENIOFYOU,TLGPM WELSX OAIEM RKCGN 
BEARINGS,ORISHALLLIVEYOUREPIT,PVIJP NRDMM VVGBA JFTIK 
RELATION,IGRANTTHOUWERTNOTMAR,ZKCAG BHUFY HEKBB BKQLR 
SALIENCE,INEVERSAWTHATYOUDIDP,ANPDI EUEOT SIXLQ YVIOX 
CALAMITY,WHOISITTHATSAYSMOSTW,YHZIE QMRJA ESMGL KQSEW 
MILLIONS,MYTONGUETIEDMUSEINMA,YGEZV UHWFQ POUIF WUVXL 
SHELVING,WASITTHEPROUDFULLSAI,OHWTO BUKHY SFYNH RDZET 
BLOOMERS,FAREWELLTHOUARTTOODE,GLFSI ICDUS CIMVK LPZRS 
GASSIEST,WHENTHOUSHALTBEDISPO,CHWFB LGNYH SDBFW WOSHG 
INTIMACY,SAYTHATTHOUDIDSTFORS,ANRBT AVRPB NLUDU RNBKA 
GARNERED,THENHATEMEWHENTHOUWI,ZHVAL RXHSE NUIEX KUUNV 
SCRAPPED,SOMEGLORYINTHEIRBIRT,KQDEV ASUQK ETWTM UTKIT 
LUNACIES,BUTDOTHYWORSTTOSTEAL,MOGDQ BLQHI ESVBS KEYNL 
BLOCKERS,SOSHALLILIVESUPPOSIN,TZGJK PCAMT JGCYG HPDWP 
BREATHER,THEYTHATHAVEPOWERTOH,UYIYM OEKIR ZEIVA VSKSH 
CARELESS,HOWSWEETANDLOVELYDOS,JONWH IWLCN UPZZW DADFW 
MARKSMAN,SOMESAYTHYFAULTISYOU,EODOK MYGTY WKMXT VEYFE 
SMELTING,HOWLIKEAWINTERHATHMY,ZAAWB SRGOU REXZU GLTQJ 
CROWDING,FROMYOUHAVEIBEENABSE,HICIB WHNCM SEEMR TCSGA 
BREEZING,THEFORWARDVIOLETTHUS,UYIJN ZJGSU ZMNTR ZUYYW 
CONFLICT,WHEREARTTHOUMUSETHAT,YVRWP ITMVV BZXCU XVVNY 
QUIETENS,OTRUANTMUSEWHATSHALL,ENZYT RGEKM MAAEG KXUTP 
UNHEEDED,MYLOVEISSTRENGTHENDT,GLSSZ HMVMG YIRJX KYAKX 
PLANTERS,ALACKWHATPOVERTYMYMU,PWAPD AYSIA OIXVK QBJMH 
GIRAFFES,TOMEFAIRFRIENDYOUNEV,ZWDEK FMJLZ ZESIC GAVVV 
MONSTERS,LETNOTMYLOVEBECALLDI,XSGFH XDQXC IWUIT SXZQA 
BEDSTEAD,WHENINTHECHRONICLEOF,XLHFB RTKFG KJHRI FMIRX 
SQUABBLE,WHENINTHECHRONICLEOF,OXYNJ OELWS BRPOT GDUIF 
UNSAVORY,NOTMINEOWNFEARSNORTH,HBLMD BVMQA XEVFJ LIELH 
MONAURAL,WHATSINTHEBRAINTHATI,IVNTM ZNETS ORUZN ETOGI 
ALTITUDE,ONEVERSAYTHATIWASFAL,OYXDX LVEYE AIMCZ ESQTT 
INSANITY,ALASTISTRUEIHAVEGONE,IYSSG QLRZH WIUIO COBFE 
BARONAGE,OFORMYSAKEDOYOUWITHF,PFFFZ YYELE UCLOA AJTYT 
WEIRDEST,YOURLOVEANDPITYDOTHT,USCIO SNXWR LGLXQ WKXPK 
NEWSREEL,SINCEILEFTYOUMINEEYE,FMJUV MPPSX UGLQM YRIUW 
JINGOISM,ORWHETHERDOTHMYMINDB,XZJNS BZQAL BZVUQ YRVQH 
CHAPLAIN,THOSELINESTHATIBEFOR,VOOHP LQAGZ TWLTQ OGMOG 
CAPTURES,LETMENOTTOTHEMARRIAG,NEIFY ESLVO IAYDE JTIPZ 
RESUBMIT,ACCUSEMETHUSTHATIHAV,RGUOT QUXKL MMUTI MZLSP 
VINTAGES,LIKEASTOMAKEOURAPPET,GQXXA YXGHI XXOAV SKXRM 
TOWNSMEN,WHATPOTIONSHAVEIDRUN,PVWGH AXVHB OUSHI VWFQA 
HAZELNUT,THATYOUWEREONCEUNKIN,AHZXJ BOPLR DSYPY NUKHR 
DEDICATE,TISBETTERTOBEVILETHA,WMVJG TMIUX RJGVB PHXKI 
LISTENER,THYGIFTTHYTABLESAREW,EPQZM SXKSG LTFYI JLZWP 
SCRABBLE,NOTIMETHOUSHALTNOTBO,FQKIN FELGW JHBME RGVSO 
SULLYING,IFMYDEARLOVEWEREBUTT,AZXJB MNXDI GPUME KTOEE 
OUTBOARD,WERETAUGHTTOMEIBORET,KYKFH ALJVN MPAEZ ECLXU 
ANALYSES,OTHOUMYLOVELYBOYWHOI,OGHZS ECDOI EWWTS QWUOT 
LEGHORNS,INTHEOLDAGEBLACKWASN,TRZOS FYVLK KIZRP CHEYU 
SEABOARD,HOWOFTWHENTHOUMYMUSI,ZSWPT TNKWR TICUD BEYSJ 
STROPPED,THEEXPENSEOFSPIRITIN,LAVSM EIQKX FTHEM UAMZB 
LOYALIST,MYMISTRESSEYESARENOT,XMKID BJXDG CYPAS KPBMT 
BRACKISH,THOUARTASTYRANNOUSSO,UYOWK ZLHTK YTKVF VVJSQ 
CORRODED,THINEEYESILOVEANDTHE,VVZES HCHUW CFJHE QFHYV 
EARPHONE,BESHREWTHATHEARTTHAT,FEJWY SJXLA KWLOE XXHRI 
IMMANENT,SONOWIHAVECONFESSDTH,AAZOJ MUTDQ OOAJR LAPFH 
BOLDNESS,WHOEVERHATHHERWISHTH,XVZHI IJZBH SKRVO ATVEK 
SYNOVIAL,IFTHYSOULCHEQUETHEET,ADGVT AOFDA USLCE EZCRH 
SHEETING,THOUBLINDFOOLLOVEWHA,LOSYU TVTVM SSETB BWDLE 
FRILLIER,WHENMYLOVESWEARSTHAT,BYMYX GPFAV AHPIV JYYIE 
DEPRAVES,OCALLNOTMETOJUSTIFYT,RGPCL ISLPI IFJPW LLJNK 
NECROTIC,BEWISEASTHOUARTCRUEL,OIYZG XIUGL QLOKB EEYGC 
MIDLANDS,INFAITHIDONOTLOVETHE,UVILI GKAPW QZTYR NQBKP 
SPASTICS,LOVEISMYSINANDTHYDEA,DDVWB AOQKX NSGLV ZQSES 
LANGUAGE,LOASACAREFULHOUSEWIF,WONYU CGVPF HRBOA WPWVL 
PLAYROOM,TWOLOVESIHAVEOFCOMFO,IHOJF JSEXS ATVCT ODXFM 
DEPORTED,THOSELIPSTHATLOVESOW,WLDGV EMSVX WOKES YHWDK 
CONSTANT,POORSOULTHECENTREOFM,RCBJL OHEVV RUXNG KGCSE 
CANNIBAL,MYLOVEISASAFEVERLONG,OYYBD FIDCS NSMWE CNOAT 
SEPARATE,OMEWHATEYESHATHLOVEP,GQTWY AMIQI HHRTA PGZTP 
DEFECATE,CANSTTHOUOCRUELSAYIL,FESWV TASXS HVWEE WDCNP 
DICTATOR,OFROMWHATPOWERHASTTH,RNTHM PVRWX QPEKV RVBVA 
EQUALISE,LOVEISTOOYOUNGTOKNOW,PEPET ALSSO IUYOL SODIW 
POLISHED,INLOVINGTHEETHOUKNOW,XBWWN PRJIV PMLOS XZBZE 
FATHERLY,CUPIDLAIDBYHISBRANDA,HUIPH CLGIB ROMJM PFNWH 
SLAMMING,THELITTLELOVEGODLYIN,LSEXU BGRWW OHQOB JDJIZ 
HITHERTO,FROMFAIRESTCREATURES,MZHTJ RBFLA MJVVT HBZXZ 
GLAUCOMA,WHENFORTYWINTERSSHAL,CSEHH CDTEH IHVSD SYSAF 
OUTFLOWS,LOOKINTHYGLASSANDTEL,ZIHPT BPZMA EFDGW FRNXQ 
PARIETAL,UNTHRIFTYLOVELINESSW,JNKPV BFENL FDIEI YTSJE 
HAIRCUTS,THOSEHOURSTHATWITHGE,AHWJG BHMYS BYCNP AAHOV 
SHIFTILY,THENLETNOTWINTERSRAG,LOMSE MELGA ENGBP PKYIL 
AVIATION,LOINTHEORIENTWHENTHE,LJQNM PSBRD MNMEV RNOPE 
SPLICING,MUSICTOHEARWHYHEARST,EJDQE BBNWP CEJGU KSGDB 
HEADACHE,ISITFORFEARTOWETAWID,PWIWF QYJLE RWOYL XHAIG 
HATCHING,FORSHAMEDENYTHATTHOU,MOKUO IZKKE GAAPN ZAHHW 
REVERTED,ASFASTASTHOUSHALTWAN,RWAEJ MEVKL JYJAE OKAVR 
ANNOYING,WHENIDOCOUNTTHECLOCK,WURBG LBIOH AHRPR ILBPY 
COBWEBBY,OTHATYOUWEREYOURSELF,QHIWX ZPSYS SACPV PUSMB 
EVINCING,NOTFROMTHESTARSDOIMY,RJBST WZZLZ AGCZF JSDUL 
ALTERING,WHENICONSIDEREVERYTH,WSXRZ KBTST WIIMI KRJML 
GUFFAWED,BUTWHEREFOREDONOTYOU,HOYBH AVHLI WJDKR RZSTZ 
MINGLING,WHOWILLBELIEVEMYVERS,IPBCT TYHQT VKGMZ EHMEY 
AMBULANT,SHALLICOMPARETHEETOA,STBFW IPHMB BLPTU XEFPU 
IDOLISED,DEVOURINGTIMEBLUNTTH,LHJZC JMQOW WXMTP XVWHS 
GUNMETAL,AWOMANSFACEWITHNATUR,GQBYE GSQGW RIMMH YGNHD 
INTONING,SOISITNOTWITHMEASWIT,ABBGV BAUBJ BHUUR GAJBH 
VARIETAL,MYGLASSSHALLNOTPERSU,HYXTE LSDCA CTRHT AZRJC 
FUNERARY,ASANUNPERFECTACTORON,FMNRL NGCWZ RGKAT RTLBR 
REMEDIAL,MINEEYEHATHPLAYDTHEP,DMZIH GESRX TTOIY OKLQT 
VESTIGES,LETTHOSEWHOAREINFAVO,GILMP UWWRL GTZKM FAENH 
FEROCITY,LORDOFMYLOVETOWHOMIN,QSIRQ NFWQS MSVWP FTQZB 
DIVORCEE,WEARYWITHTOILIHASTEM,ZMVFP YMXKB JWCKL EVBZA 
PROPOUND,HOWCANITHENRETURNINH,WFKRO HVWWV BGSNH UCZBW 
LINEAGES,WHENINDISGRACEWITHFO,HPRRI THADO EECKA AEPSS 
BLISTERS,WHENTOTHESESSIONSOFS,XSMFM SKZFD MKLMF FTZNK 
WEAVINGS,THYBOSOMISENDEAREDWI,PLYWW FUEEW EILRG JAHWD 
HANDBAGS,IFTHOUSURVIVEMYWELLC,PFGKP UYMYV VYFME OLLYF 
CHOIRBOY,FULLMANYAGLORIOUSMOR,HBZTD BBWCN ZWIJC SUTCZ 
PROPOSER,WHYDIDSTTHOUPROMISES,LYMSW VWKIY CJDJS DXJSH 
PROVIDER,NOMOREBEGRIEVEDATTHA,CFAJZ HFVVI WZDHH RIKVV 
VISCOUNT,LETMECONFESSTHATWETW,GMLOS WBGAM KUHBN MRMLY 
RETRENCH,ASADECREPITFATHERTAK,RWTUI PTLGM MWEGJ LIXTB 
SUBTOTAL,HOWCANMYMUSEWANTSUBJ,ZIXVO GMJEO TXKTN EKOCC 
REALISED,OHOWTHYWORTHWITHMANN,FLOHB ZCZFV TSEAX KDENY 
ANTILOPE,TAKEALLMYLOVESMYLOVE,TNDML ZAQYY HDPGB CLBOM 
DRUNKARD,THOSEPETTYWRONGSTHAT,WYIFO PVWWP QEYNX VWYUG 
CARRIAGE,THATTHOUHASTHERITISN,VHRKB HUYJA JKPEX MVIJE 
AROUSING,WHENMOSTIWINKTHENDOM,WYSHE WFZIN WHCBU KNUCG 
CHARGING,IFTHEDULLSUBSTANCEOF,KMTYK LHRNZ USYBN TELOW 
ORCHARDS,THEOTHERTWOSLIGHTAIR,HYGVT YHJHN QZLZJ ZHRKY 
ACRIMONY,MINEEYEANDHEARTAREAT,MKEMQ MRYNF YMMFG YRGRB 
URBANITY,BETWIXTMINEEYEANDHEA,VVUWV FMKCE FELMT LXYFA 
MISGUIDE,HOWCAREFULWASIWHENIT,TWOIU ZHJGT OGMQZ LQVAZ 
RECLINER,AGAINSTTHATTIMEIFEVE,RKCTV FXKYE VEQZI ZWIXP 
WORTHIER,HOWHEAVYDOIJOURNEYON,DCNAL IZPZC ZCVCV EAMFG 
EXTENDED,THUSCANMYLOVEEXCUSET,XENWP DRPCI HZRHB FYPXX 
HEATWAVE,SOAMIASTHERICHWHOSEB,ZSAFE ANXOI RBYHR LVWEU 
SELECTOR,WHATISYOURSUBSTANCEW,OLLXK LMFMV DYDLH RFGPA 
PUNITIVE,OHOWMUCHMOREDOTHBEAU,DBBEF CXLBI EMWWO LQYNC 
MUTATING,NOTMARBLENORTHEGILDE,ZIMMT ZORQH HRMPR MUFWE 
STERNEST,SWEETLOVERENEWTHYFOR,KPIVG PGOWK IERAL AQYSI 
GEODESIC,BEINGYOURSLAVEWHATSH,HIWQK QWWXW ZDZWE JGXGK 
TOWPATHS,THATGODFORBIDTHATMAD,MVWIG HKXHF XXDMO SMAWS 
PASTRIES,IFTHEREBENOTHINGNEWB,XFLAV ZITTN GMYQR YCEOU 
DISEASES,LIKEASTHEWAVESMAKETO,OQCIA KXZHE SZEKQ SNMLS 
UNMAKING,ISITTHYWILLTHYIMAGES,CFUTD PLCCY XTRGV SUTQS 
FORGOING,SINOFSELFLOVEPOSSESS,XWEUT ARRKZ FBSXB YXSJY 
ABDOMENS,AGAINSTMYLOVESHALLBE,AHDWZ WGEYM RJQWU SLMES 
AGENCIES,WHENIHAVESEENBYTIMES,WNIAK PENEY IRPJC LISIF 
INDEXERS,SINCEBRASSNORSTONENO,AVQGB FISAF QSOWK GVRQS 
SIGNPOST,TIREDWITHALLTHESEFOR,LQXRS KAMZI RYIVW LWNUE 
UNSEEDED,AHWHEREFOREWITHINFEC,UUOLI UIIIE WAMWL LHSWG 
CLUMSIER,THUSISHISCHEEKTHEMAP,VSOEA ALZUN BQWSX YGXUB 
BOUQUETS,THOSEPARTSOFTHEETHAT,UVIIY TTJUG IVNLX WUVUJ 
BIFOCALS,THATTHOUARTBLAMEDSHA,UPFHV HZMBZ YPNAX WEAMO 
THORACIC,NOLONGERMOURNFORMEWH,GVZFN IMTFV IINHW TFLKY 
IMPLORED,OLESTTHEWORLDSHOULDT,WXTDH KLHEA GWRJL RCXSE 
ANNOTATE,THATTIMEOFYEARTHOUMA,TUNHM IFIOS LSTRM LOHZO 
SWERVING,BUTBECONTENTEDWHENTH,TQXSZ KBTLA RKZLJ NWJXY 
THINNESS,SOAREYOUTOMYTHOUGHTS,LVIER CGMMV ULGLG MZOBF 
EXTERIOR,WHYISMYVERSESOBARREN,AERMJ UMMIO LIJWP RVOXR 
BREEDERS,THYGLASSWILLSHOWTHEE,UYCKO EJKXZ PPVLF OUYII 
CANDELAS,SOOFTHAVEIINVOKEDTHE,UOBIX SANGI VQZZK WFTUH 
EXALTING,WHILSTIALONEDIDCALLU,AEIWL BVGPL NPWQQ IEILF 
SUICIDAL,OHOWIFAINTWHENIOFYOU,GBWYQ IATFN EJMQI ZXSWW 
ALLEGING,ORISHALLLIVEYOUREPIT,OCTWN IYRLT GIEWH XEATX 
METALLED,IGRANTTHOUWERTNOTMAR,UKKAY EXKAY PECER RFQTR 
NARRATED,INEVERSAWTHATYOUDIDP,VNVME KWDJT YRTRS XQIUG 
COLLATES,WHOISITTHATSAYSMOSTW,YVZTS BXLJO EDARW EQGEH 
DENIABLE,MYTONGUETIEDMUSEINMA,PCGWN HFIWM RLMVD ILRZI 
BUGBEARS,WASITTHEPROUDFULLSAI,XUYJX TYWQL UVHFL DMMGJ 
ANAGRAMS,FAREWELLTHOUARTTOODE,FNRKN EXDTU OARRF LOBDK 
ARMATURE,WHENTHOUSHALTBEDISPO,WYQNM BFYSY MLMVV HIJBO 
DROWSIER,SAYTHATTHOUDIDSTFORS,VRMPZ IXKKF IZALW KIFFO 
HEDONISM,THENHATEMEWHENTHOUWI,ALHBU ILQTI ZVRVL TVYZW 
STAGNANT,SOMEGLORYINTHEIRBIRT,KHMKT LBKQB NZUEV KTBRZ 
REPROOFS,BUTDOTHYWORSTTOSTEAL,SYIUC HMQNS GJHHT KKIPC 
PICKLING,SOSHALLILIVESUPPOSIN,HWURL TYOAQ XODCC VDAKX 
CAMBODIA,THEYTHATHAVEPOWERTOH,VHQZH KITJA HFDRE ETTAI 
TRUMPERY,HOWSWEETANDLOVELYDOS,AFQEL IVRTE XXDZV JRUIE 
LAVENDER,SOMESAYTHYFAULTISYOU,DOHIF DCKSY AEHOX ZDYJY 
ATTAINED,HOWLIKEAWINTERHATHMY,HHPLQ XIDWB GTMEL DTAFY 
BELLOWED,FROMYOUHAVEIBEENABSE,GVZXM KYKBZ PTPAI QBFDP 
WEIGHTED,THEFORWARDVIOLETTHUS,PLMLV KADNH DOVEI WPLCY 
CURATORS,WHEREARTTHOUMUSETHAT,YBVRX OILVB FUFIJ WVBRT 
AUDITORY,OTRUANTMUSEWHATSHALL,ONUCT BKKUM HEAOK QHUOT 
PERJURER,MYLOVEISSTRENGTHENDT,BCCXP VMJHX INHXX YTRUC 
SENTIENT,ALACKWHATPOVERTYMYMU,SPNVS AUTLT BOMVG RECZN 
OVERLEAF,TOMEFAIRFRIENDYOUNEV,HJQVQ EIWTM MVYHY TIIIM 
COMPLIED,LETNOTMYLOVEBECALLDI,NSFCZ BQBNC HTMMG DNZPX 
